_geometry,Id
"POLYGON ((381.399108886719 347.054077148438,382.390319824219 374.148681640625,426.006103515625 391.991516113281,416.093505859375 397.939086914063,426.997314453125 400.58251953125,438.562072753906 398.930297851563,444.179321289063 402.564880371094,448.144287109375 400.58251953125,531.410522460938 388.356872558594,539.010314941406 373.157470703125,538.349487304688 361.262329101563,518.854675292969 344.741088867188,519.184875488281 342.758728027344,502.33349609375 332.515502929688,430.301513671875 342.097717285156,417.084716796875 338.132690429688,409.484924316406 339.784912109375,408.493713378906 344.741088867188,381.399108886719 347.054077148438))",0
"POLYGON ((324.236083984375 342.097717285156,307.715087890625 349.367126464844,303.749877929688 346.393310546875,287.889709472656 352.671325683594,279.959716796875 349.697509765625,261.786499023438 353.662475585938,259.803894042969 375.470275878906,258.482299804688 378.774719238281,283.924682617188 384.061279296875,284.585510253906 391.991516113281,376.1123046875 422.059875488281,383.051330566406 413.79931640625,389.329284667969 409.834289550781,392.303100585938 423.7119140625,398.250671386719 425.03369140625,400.233093261719 416.442687988281,404.198303222656 417.103515625,409.154479980469 413.79931640625,412.046508789063 386.280700683594,382.390319824219 374.148681640625,375.781921386719 371.505310058594,376.1123046875 359.279724121094,356.617492675781 350.688720703125,352.322082519531 353.001708984375,324.236083984375 342.097717285156))",0
"POLYGON ((354.763305664063 415.046325683594,296.480712890625 430.981323242188,297.141479492188 436.598510742188,286.568115234375 440.233093261719,312.010498046875 457.414916992188,320.271118164063 466.005920410156,320.271118164063 469.640502929688,327.870727539063 472.614318847656,341.087707519531 476.249084472656,341.418090820313 479.222717285156,368.182312011719 486.822509765625,395.276916503906 481.866088867188,395.607299804688 463.693115234375,407.502502441406 460.058288574219,416.093505859375 460.719116210938,419.067077636719 458.406311035156,420.058471679688 440.893920898438,409.815490722656 436.928894042969,404.198303222656 438.911315917969,372.147277832031 427.01611328125,372.137329101563 420.754089355469,354.763305664063 415.046325683594))",0
